"","ts_code","trade_date","close","open","high","low","pre_close","change","pct_chg","vol","amount"
"62","000001.SH",2019-08-27,2902.1932,2879.5154,2919.6444,2879.406,2863.5673,38.6259,1.3489,208141794,230999692.9
"63","000001.SH",2019-08-26,2863.5673,2851.0158,2870.4939,2849.2381,2897.4253,-33.858,-1.1686,169895363,191036667.9
"64","000001.SH",2019-08-23,2897.4253,2885.151,2902.4563,2878.7443,2883.4358,13.9895,0.4852,159156826,192567132.7
"65","000001.SH",2019-08-22,2883.4358,2887.6649,2888.4969,2867.5522,2880.3307,3.1051,0.1078,149206215,169662167.2
"66","000001.SH",2019-08-21,2880.3307,2875.4708,2885.5861,2872.5573,2880.0012,0.3295,0.0114,159019665,183187275.2
"67","000001.SH",2019-08-20,2880.0012,2879.0816,2892.0796,2874.9988,2883.096,-3.0948,-0.1073,189677206,209774344.4
"68","000001.SH",2019-08-19,2883.096,2835.5181,2883.096,2829.8542,2823.8238,59.2722,2.099,214546668,247092216.3
"69","000001.SH",2019-08-16,2823.8238,2817.5708,2840.3164,2811.8016,2815.7976,8.0262,0.285,148582344,186139370.3
"70","000001.SH",2019-08-15,2815.7976,2762.339,2815.8964,2756.8341,2808.9146,6.883,0.245,152772152,173670539.2
"71","000001.SH",2019-08-14,2808.9146,2824.4864,2829.8906,2807.719,2797.2596,11.655,0.4167,144014641,173944883.3
"72","000001.SH",2019-08-13,2797.2596,2798.0512,2802.0415,2790.608,2814.9944,-17.7348,-0.63,130916505,153957510.6
"73","000001.SH",2019-08-12,2814.9944,2781.9816,2814.9944,2776.6197,2774.7532,40.2412,1.4503,131563433,162523259.8
"74","000001.SH",2019-08-09,2774.7532,2805.5856,2808.3289,2770.4777,2794.5523,-19.7991,-0.7085,148240293,171140338.8
"75","000001.SH",2019-08-08,2794.5523,2784.1835,2799.6859,2782.2447,2768.6795,25.8728,0.9345,149539564,178156148.4
"76","000001.SH",2019-08-07,2768.6795,2789.0187,2792.6934,2768.6795,2777.5559,-8.8764,-0.3196,157716752,176475728.4
"77","000001.SH",2019-08-06,2777.5559,2776.9889,2787.4185,2733.9242,2821.4957,-43.9398,-1.5573,231123727,255209231.2
"78","000001.SH",2019-08-05,2821.4957,2854.578,2863.6891,2821.4957,2867.8376,-46.3419,-1.6159,167419423,196891483.1
"79","000001.SH",2019-08-02,2867.8376,2861.3323,2872.473,2851.4402,2908.766,-40.9284,-1.4071,184888443,216327400.6
"80","000001.SH",2019-08-01,2908.766,2920.8506,2927.3421,2901.7503,2932.5058,-23.7398,-0.8095,142389813,171115635.7
"81","000001.SH",2019-07-31,2932.5058,2944.3977,2944.3977,2926.4853,2952.3383,-19.8325,-0.6718,141052348,164607873.5
"82","000001.SH",2019-07-30,2952.3383,2946.2566,2965.632,2946.2566,2941.007,11.3313,0.3853,148316462,170866349.9
"83","000001.SH",2019-07-29,2941.007,2943.918,2948.4665,2932.9773,2944.541,-3.534,-0.12,127991846,147439134.5
"84","000001.SH",2019-07-26,2944.541,2928.0614,2948.3261,2924.4513,2937.3601,7.1809,0.2445,139343388,158774666.1
"85","000001.SH",2019-07-25,2937.3601,2923.1886,2937.3601,2916.1498,2923.2775,14.0826,0.4817,145684385,175356381.7
"86","000001.SH",2019-07-24,2923.2775,2907.9275,2936.4522,2907.7865,2899.9446,23.3329,0.8046,155245762,178858104
"87","000001.SH",2019-07-23,2899.9446,2886.9044,2901.3591,2883.0457,2886.974,12.9706,0.4493,129310508,148077349.3
"88","000001.SH",2019-07-22,2886.974,2925.7882,2927.1601,2879.69,2924.2006,-37.2266,-1.2731,180674960,204289434.2
"89","000001.SH",2019-07-19,2924.2006,2909.6794,2939.5973,2909.6794,2901.1766,23.024,0.7936,149469553,149071212
"90","000001.SH",2019-07-18,2901.1766,2921.7387,2921.7387,2901.1766,2931.6926,-30.516,-1.0409,149888828,149088843.1
"91","000001.SH",2019-07-17,2931.6926,2933.0227,2942.0668,2924.4594,2937.6168,-5.9242,-0.2017,149631616,152162962.6
"92","000001.SH",2019-07-16,2937.6168,2938.6411,2944.821,2931.2926,2942.1853,-4.5685,-0.1553,131811751,140766389
"93","000001.SH",2019-07-15,2942.1853,2921.546,2955.0003,2886.6993,2930.5462,11.6391,0.3972,167643397,176533201.2
"94","000001.SH",2019-07-12,2930.5462,2915.3401,2938.5311,2905.809,2917.7609,12.7853,0.4382,137794759,142918869.6
"95","000001.SH",2019-07-11,2917.7609,2928.0553,2945.8023,2907.8852,2915.3022,2.4587,0.0843,143692522,152181408
"96","000001.SH",2019-07-10,2915.3022,2935.1855,2936.7519,2908.162,2928.2295,-12.9273,-0.4415,135483538,141236258.6
"97","000001.SH",2019-07-09,2928.2295,2928.8188,2937.7621,2912.8063,2933.3634,-5.1339,-0.175,145110604,154251421.8
"98","000001.SH",2019-07-08,2933.3634,2997.8067,2997.8067,2918.7157,3011.0588,-77.6954,-2.5803,211541268,205568813.5
"99","000001.SH",2019-07-05,3011.0588,3004.7383,3014.8474,2990.9247,3005.2488,5.81,0.1933,156755429,163180842.8
"100","000001.SH",2019-07-04,3005.2488,3015.6785,3024.5023,2991.9079,3015.2633,-10.0145,-0.3321,194415133,202266388.6
"101","000001.SH",2019-07-03,3015.2633,3031.832,3031.832,3006.3246,3043.9428,-28.6795,-0.9422,212296173,218657994.4
"102","000001.SH",2019-07-02,3043.9428,3042.58,3048.4839,3033.7809,3044.9028,-0.96,-0.0315,214520624,229566616.5
"103","000001.SH",2019-07-01,3044.9028,3024.6238,3045.3669,3014.6871,2978.8784,66.0244,2.2164,250840433,266541056.9
"104","000001.SH",2019-06-28,2978.8784,2992.2426,2992.2426,2961.2225,2996.7926,-17.9142,-0.5978,181431523,183641767.3
"105","000001.SH",2019-06-27,2996.7926,2982.6125,3011.538,2981.045,2976.2837,20.5089,0.6891,195397049,208618648.1
"106","000001.SH",2019-06-26,2976.2837,2964.6153,2986.9139,2958.4632,2982.0738,-5.7901,-0.1942,174449533,172516055.2
"107","000001.SH",2019-06-25,2982.0738,3004.9095,3004.9095,2948.9907,3008.1479,-26.0741,-0.8668,243699244,244315077.4
"108","000001.SH",2019-06-24,3008.1479,3004.2891,3012.826,2994.4219,3001.9802,6.1677,0.2055,210493894,211237183
"109","000001.SH",2019-06-21,3001.9802,2990.3687,3010.349,2989.2454,2987.1186,14.8616,0.4975,286973835,276662458.5
"110","000001.SH",2019-06-20,2987.1186,2917.331,2997.3888,2915.0895,2917.8029,69.3157,2.3756,291011537,288296546.4
"111","000001.SH",2019-06-19,2917.8029,2944.1154,2953.3355,2916.2149,2890.158,27.6449,0.9565,230756973,225567258
"112","000001.SH",2019-06-18,2890.158,2891.0917,2898.3304,2874.3129,2887.6221,2.5359,0.0878,147705320,136935231.7
"113","000001.SH",2019-06-17,2887.6113,2880.4226,2902.4808,2877.3941,2881.9743,5.637,0.1956,153964960,143141637.3
"114","000001.SH",2019-06-14,2881.9743,2912.9988,2924.3197,2879.6573,2910.7406,-28.7663,-0.9883,215435796,194303111.8
"115","000001.SH",2019-06-13,2910.7406,2905.2877,2918.4227,2885.9232,2909.3796,1.361,0.0468,212957791,191748206.7
"116","000001.SH",2019-06-12,2909.3796,2917.2239,2924.7018,2903.8833,2925.7162,-16.3366,-0.5584,240255775,223063953.3
"117","000001.SH",2019-06-11,2925.7162,2854.0704,2927.4303,2854.0704,2852.1302,73.586,2.58,260525796,254479985.8
"118","000001.SH",2019-06-10,2852.1302,2833.0145,2861.131,2824.3554,2827.7978,24.3324,0.8605,166585918,162489831.4
